faaliyet_aciklama;fkod;yil;butce
Avrupa Birliði Projeleri;ABP601;2026;
Bakanlýk Talepleri;BAK601;2026;
Rekabetçi Sektörler KOBÝ Profil Analizi;KDU101;2026;0
Hedef pazar analizi;KDU103;2026;1.000.000
Eylem Planlarý;KDU108;2026;5.000.000
Ulusal ve uluslararasý fonlara proje geliþtirilmesi;KDU204;2026;0
Yeþil Dönüþüm Stratejisi ve Eylem Planý kapsamýndaki iþ birliði faaliyetleri;KDU205;2026;500.000
Yalýn üretim ve dijital dönüþüm alanýnda insan kaynaðý geliþtirme;KDU301;2026;2.000.000
Yalýn üretim ve dijital dönüþüme yönelik iyi uygulama ziyaretleri ve tecrübe paylaþýmý;KDU302;2026;1.000.000
Kadýn kooperatifleri kalkýnma liderleri programý;KDU304;2026;3.000.000
Export Hub Programý;KDU305;2026;2.000.000
Yatýrým fizibiliteleri sunumu, B2B Organizasyonlarý;KDU406;2026;2.000.000
Rekabetçi Sektörler KOBÝ Profil Analizi Lansmaný;KDU407;2026;500.000
Teknik Destek;KDU501;2026;20.000.000
SoGreen Projesi;SOG601;2026;40.000.000
SOP dýþý diðer iþler;SDD601;2026;
Doða ve kültür turizmi temasýnda deneyim odaklý ürünlerin, rotalarýn, destinasyonlarýn araþtýrýlmasý ve geliþtirilmesi;STU101;2026;14.000.000,00
Hedef pazar analizlerinin yapýlmasý;STU102;2026;2.000.000
Kurumsal kimlik, markalaþma ve tanýtým stratejilerinin oluþturulmasý;STU103;2026;11.000.000
Turizm master planlarýnýn, planlara yönelik yatýrým fizibiliteleri ve ön fizibilitelerin hazýrlanmasý;STU104;2026;10.000.000
Deneyim odaklý doða ve kültür turizmi kapsamýnda ürün, festival, þenlik, rekreatif aktivite, organizasyon, rota ve destinasyon planlamasý gerçekleþtirecek ve bunlarý geliþtirecek çalýþma gruplarý oluþturulmasý;STU201;2026;4.000.000
Sektörel uzmanlaþmaya yönelik eðitim/webinar/farkýndalýk toplantýlarý gerçekleþtirilmesi;STU301;2026;1.000.000
Katma deðerli turizm alanýnda iyi uygulama örneklerinin incelenmesi;STU302;2026;1.000.000
Kültür-turizm festivalleri ve spor organizasyonlarý düzenlenmesi;STU401;2026;3.000.000
Fuarlar, Tanýtým Amaçlý Lansman (Roadshow) Organizasyonlarý;STU402;2026;7.000.000
Fam-trip ve tanýtým turu etkinlikleri düzenlenmesi;STU403;2026;3.000.000
Doðrudan yabancý yatýrým çekmeye yönelik B2B, yatýrým turu, yatýrýmcý zirvesi katýlýmý/düzenlenmesi;STU404;2026;2.000.000
Dijital tanýtým içerikleri ve basýlý tanýtým materyallerinin hazýrlanmasý;STU405;2026;2.000.000
Teknik Destek;STU501;2026;10.000.000
Güdümlü Proje Desteði ve Mali Destek;STU502;2026;0
